Horizon,Model,RU,RU_percent,Utility_loss_to_perfect_bps,Negative_forecast_n,Zero_forecast_n,Nonpositive_forecast_n,Below_dynamic_floor_after_abs_n,Missing_forecast_n_total,Average_weight,Median_weight,Max_weight,Share_leverage,Evaluation_obs,Dropped_initial_obs_due_to_dynamic_floor,Dropped_obs_total,Utility_gain_vs_Model 16_bps
5,Model 10,0.037047411007922616,3.7047411007922615,29.525889920773846,1,0,1,2,0,0.6563540810767328,0.6610419949266901,1.706598950163793,0.004273504273504274,468,5,5,11.488777508107395
5,Model 7,0.036744786068599315,3.6744786068599313,32.55213931400686,22,0,22,9,0,0.7215474297892727,0.6909765399712617,1.706598950163793,0.0811965811965812,468,5,5,8.462528114874384
5,Model 16,0.03589853325711188,3.5898533257111875,41.01466742888124,22,0,22,15,0,0.7797778940744808,0.7403821712020968,1.706598950163793,0.10256410256410256,468,5,5,0.0
5,Model 9,0.035816532876094306,3.5816532876094307,41.834671239056945,40,0,40,26,0,0.8534706376616212,0.8237301124396568,1.706598950163793,0.23717948717948717,468,5,5,-0.820003810175704
5,Model 1,0.03540845861318218,3.540845861318218,45.915413868178184,0,0,0,1,0,0.7047319831437422,0.7232781522659926,0.8938973027100313,0.0,468,5,5,-4.9007464392969435
5,Model 4,0.035307535803609166,3.5307535803609165,46.92464196390834,0,0,0,0,0,0.6449345768861368,0.6603440941335339,0.7326019711511813,0.0,468,5,5,-5.9099745350271045
5,Model 12,0.03529971622195063,3.529971622195063,47.00283778049368,11,0,11,10,0,0.7188433097541255,0.6800274731183649,1.706598950163793,0.07264957264957266,468,5,5,-5.9881703516124345
5,Model 3,0.035265745358442714,3.5265745358442713,47.34254641557287,0,0,0,0,0,0.6414240837212659,0.6512259654856993,0.7486230000002985,0.0,468,5,5,-6.327878986691626
5,Model 8,0.035208310172915806,3.5208310172915804,47.91689827084195,20,0,20,16,0,0.7204998128027943,0.6770096672896103,1.706598950163793,0.07478632478632478,468,5,5,-6.902230841960705
5,Model 15,0.0350830615146162,3.5083061514616203,49.16938485383798,16,0,16,15,0,0.7383501194036285,0.6914409937941485,1.706598950163793,0.08974358974358974,468,5,5,-8.154717424956742
5,Model 13,0.03478016747471204,3.4780167474712043,52.1983252528796,26,0,26,17,0,0.7554038708304396,0.7105556368779506,1.706598950163793,0.0876068376068376,468,5,5,-11.183657823998356
5,Model 2,0.0346655823844196,3.46655823844196,53.344176155804,0,0,0,1,0,0.6982233716705961,0.7072799933231109,1.0647334348275794,0.010683760683760684,468,5,5,-12.32950872692276
5,Model 14,0.034397998450952684,3.4397998450952683,56.02001549047317,20,0,20,16,0,0.711341628185483,0.6642121859690324,1.706598950163793,0.07051282051282051,468,5,5,-15.005348061591928
5,Model 5,0.03421213942261325,3.4212139422613252,57.878605773867484,0,0,0,0,0,0.5525528578926034,0.5548491889695679,0.5602551080783584,0.0,468,5,5,-16.86393834498624
5,Model 11,0.028552260151598643,2.855226015159864,114.47739848401358,106,0,106,175,0,1.1254358956017267,1.097413687410225,1.706598950163793,0.5897435897435898,468,5,5,-73.46273105513234
5,Model 6,0.02824388115935708,2.824388115935708,117.5611884064292,29,0,29,139,0,1.1412479521988974,1.097413687410225,1.706598950163793,0.6324786324786325,468,5,5,-76.54652097754796
