Horizon,Model,RU,RU_percent,Utility_loss_to_perfect_bps,Negative_forecast_n,Zero_forecast_n,Nonpositive_forecast_n,Below_dynamic_floor_after_abs_n,Missing_forecast_n_total,Average_weight,Median_weight,Max_weight,Share_leverage,Evaluation_obs,Dropped_initial_obs_due_to_dynamic_floor,Dropped_obs_total,Utility_gain_vs_Model 16_bps
1,Model 15,0.038077238881755224,3.807723888175522,19.22761118244777,12,0,12,10,0,0.787342588331901,0.778023945135172,1.706598950163793,0.09663865546218488,476,1,1,8.497621697994006
1,Model 9,0.03778203922582024,3.778203922582024,22.1796077417976,11,0,11,2,0,0.690307042096522,0.6892673104953612,1.706598950163793,0.031512605042016806,476,1,1,5.545625138644178
1,Model 1,0.037546322689003445,3.7546322689003446,24.536773109965562,0,0,0,2,0,0.7313612535939399,0.7478939356481237,0.9790498477480402,0.0,476,1,1,3.188459770476215
1,Model 13,0.03744814322275277,3.744814322275277,25.518567772472302,11,0,11,7,0,0.7381411529641854,0.7185179006675149,1.706598950163793,0.07142857142857142,476,1,1,2.206665107969477
1,Model 4,0.03738630157050152,3.7386301570501517,26.13698429498483,1,0,1,1,0,0.6869738447019276,0.6921355693253113,1.2134513221650467,0.0021008403361344537,476,1,1,1.5882485854569472
1,Model 2,0.03725235779583966,3.725235779583966,27.476422041603428,0,0,0,2,0,0.7245578684924648,0.7298255487784724,1.1607695855245785,0.046218487394957986,476,1,1,0.2488108388383481
1,Model 3,0.037228307921212844,3.722830792121284,27.716920787871565,0,0,0,2,0,0.6856212635273676,0.7018638471396161,0.8710095906011299,0.0,476,1,1,0.008312092570211815
1,Model 16,0.03722747671195582,3.7227476711955823,27.725232880441776,13,0,13,17,0,0.830854866991512,0.7915319164481831,1.706598950163793,0.17647058823529413,476,1,1,0.0
1,Model 6,0.03702583161064089,3.702583161064089,29.741683893591137,2,0,2,9,0,0.832209787782247,0.7983053044121959,1.706598950163793,0.19327731092436976,476,1,1,-2.016451013149359
1,Model 12,0.036979635919328804,3.6979635919328806,30.203640806711967,6,0,6,10,0,0.8533562884047159,0.8263411513906395,1.706598950163793,0.23109243697478993,476,1,1,-2.4784079262701875
1,Model 14,0.03685050700836046,3.6850507008360465,31.49492991639538,12,0,12,11,0,0.7269802658431364,0.6998233010196467,1.706598950163793,0.06092436974789916,476,1,1,-3.7696970359536035
1,Model 7,0.03681630303479031,3.681630303479031,31.836969652096897,15,0,15,16,0,0.7892133553724271,0.7628682936484064,1.706598950163793,0.09033613445378151,476,1,1,-4.11173677165512
1,Model 10,0.036427357833658074,3.6427357833658074,35.72642166341927,2,0,2,4,0,0.6312108523376397,0.6343498137689032,1.706598950163793,0.008403361344537815,476,1,1,-8.001188782977495
1,Model 5,0.03475411502152996,3.475411502152996,52.458849784700405,0,0,0,1,0,0.5588476352368014,0.562465348754576,0.5724901345181614,0.0,476,1,1,-24.733616904258625
1,Model 11,0.0331739526620083,3.31739526620083,68.26047337991699,25,0,25,77,0,1.029160168542894,0.9931874034850947,1.706598950163793,0.4831932773109244,476,1,1,-40.53524049947521
1,Model 8,0.02756225336881597,2.756225336881597,124.37746631184032,71,0,71,199,0,1.179336419405022,1.1425117517018721,1.706598950163793,0.6638655462184874,476,1,1,-96.65223343139854
